directory	file	line	function	property kind	status	property
.	tkn-3-commented.c	15	alloc	ptr_comparison	Unknown	\pointer_comparable((void *)0, (void *)curr)
.	tkn-3-commented.c	16	alloc	initialization	Unknown	\initialized(curr)
.	tkn-3-commented.c	16	alloc	mem_access	Unknown	\valid_read(curr)
.	tkn-3-commented.c	20	alloc	initialization	Unknown	\initialized(curr)
.	tkn-3-commented.c	20	alloc	mem_access	Unknown	\valid_read(curr)
.	tkn-3-commented.c	22	alloc	ptr_comparison	Unknown	\pointer_comparable((void *)0, (void *)tmp)
.	tkn-3-commented.c	27	alloc	initialization	Unknown	\initialized(tmp)
.	tkn-3-commented.c	27	alloc	mem_access	Unknown	\valid_read(tmp)
.	tkn-3-commented.c	30	alloc	ptr_comparison	Unknown	\pointer_comparable((void *)0, (void *)tmp)
.	tkn-3-commented.c	32	alloc	mem_access	Unknown	\valid(prev)
.	tkn-3-commented.c	37	alloc	mem_access	Unknown	\valid(curr + i)
.	tkn-3-commented.c	50	print_free_list	ptr_comparison	Unknown	\pointer_comparable((void *)q, (void *)0)
.	tkn-3-commented.c	52	print_free_list	initialization	Unknown	\initialized(q)
.	tkn-3-commented.c	52	print_free_list	mem_access	Unknown	\valid_read(q)
.	tkn-3-commented.c	66	main	mem_access	Unknown	\valid((word_t *)((word_t)((word_t)r + (word_t)((int)(i * 1024)))))
.	tkn-3-commented.c	68	main	mem_access	Unknown	\valid((word_t *)((word_t)((word_t)r + (word_t)((int)((int)(n - 1) * 1024)))))
