directory	file	line	function	property kind	status	property
.	tkn-3.c	11	alloc	ptr_comparison	Unknown	\pointer_comparable((void *)0, (void *)curr)
.	tkn-3.c	12	alloc	initialization	Unknown	\initialized(curr)
.	tkn-3.c	12	alloc	mem_access	Unknown	\valid_read(curr)
.	tkn-3.c	14	alloc	initialization	Unknown	\initialized(curr)
.	tkn-3.c	14	alloc	mem_access	Unknown	\valid_read(curr)
.	tkn-3.c	15	alloc	ptr_comparison	Unknown	\pointer_comparable((void *)0, (void *)tmp)
.	tkn-3.c	20	alloc	initialization	Unknown	\initialized(tmp)
.	tkn-3.c	20	alloc	mem_access	Unknown	\valid_read(tmp)
.	tkn-3.c	22	alloc	ptr_comparison	Unknown	\pointer_comparable((void *)0, (void *)tmp)
.	tkn-3.c	23	alloc	mem_access	Unknown	\valid(prev)
.	tkn-3.c	25	alloc	mem_access	Unknown	\valid(curr + i)
.	tkn-3.c	37	print_free_list	ptr_comparison	Unknown	\pointer_comparable((void *)q, (void *)0)
.	tkn-3.c	39	print_free_list	initialization	Unknown	\initialized(q)
.	tkn-3.c	39	print_free_list	mem_access	Unknown	\valid_read(q)
.	tkn-3.c	56	main	mem_access	Unknown	\valid((word_t *)((word_t)((word_t)r + (word_t)((int)(i * 1024)))))
.	tkn-3.c	57	main	mem_access	Unknown	\valid((word_t *)((word_t)((word_t)r + (word_t)((int)((int)(n - 1) * 1024)))))
