directory	file	line	function	property kind	status	property
2019/adamovsky	progSpoiler.c	32	Reference	initialization	Unknown	\initialized(&(f + (int)(5 - 1))->n)
2019/adamovsky	progSpoiler.c	60	Dereference	initialization	Unknown	\initialized(&(f + (int)(5 - 1))->n)
2019/adamovsky	progSpoiler.c	60	Dereference	initialization	Unknown	\initialized(&(f + (int)(5 - 1))->n)
2019/adamovsky	progSpoiler.c	61	Dereference	initialization	Unknown	\initialized(&(f + 0)->call)
2019/adamovsky	progSpoiler.c	61	Dereference	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->call, (void (*)())(&fW))
2019/adamovsky	progSpoiler.c	61	Dereference	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->call, (void (*)())(&fCh))
2019/adamovsky	progSpoiler.c	61	Dereference	initialization	Unknown	\initialized(&(f + 1)->a)
2019/adamovsky	progSpoiler.c	62	Dereference	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->call, (void (*)())(&fCont))
2019/adamovsky	progSpoiler.c	62	Dereference	initialization	Unknown	\initialized(&(f + 2)->a)
2019/adamovsky	progSpoiler.c	63	Dereference	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->call, (void (*)())(&rC))
2019/adamovsky	progSpoiler.c	63	Dereference	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->call, (void (*)())(&rCont))
2019/adamovsky	progSpoiler.c	63	Dereference	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->call, (void (*)())(&rE))
2019/adamovsky	progSpoiler.c	63	Dereference	initialization	Unknown	\initialized(&(f + 3)->a)
2019/adamovsky	progSpoiler.c	75	Next	index_bound	Unknown	0 ≤ c
2019/adamovsky	progSpoiler.c	75	Next	index_bound	Unknown	c < 256
2019/adamovsky	progSpoiler.c	90	I	function_pointer	Unknown	\valid_function((f + 0)->init)
2019/adamovsky	progSpoiler.c	106	main	mem_access	Unknown	\valid_read(argv + 1)
2019/adamovsky	progSpoiler.c	106	main	precondition of fopen	Unknown	valid_filename: valid_read_string(filename)
2019/adamovsky	progSpoiler.c	111	main	mem_access	Invalid or unreachable	\valid_read(argv + 2)
2019/adamovsky	progSpoiler.c	116	main	initialization	Unknown	\initialized(&(f + 3)->a)
2019/adamovsky	progSpoiler.c	288	Apply1	mem_access	Invalid or unreachable	\valid_read(&(x + 3)->a)
2019/adamovsky	progSpoiler.c	509	Output	initialization	Unknown	\initialized(&(f + 0)->call)
2019/adamovsky	progSpoiler.c	509	Output	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->call, (void (*)())(&fK0))
2019/adamovsky	progSpoiler.c	510	Output	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->call, (void (*)())(&fK1))
2019/adamovsky	progSpoiler.c	513	Output	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->call, (void (*)())(&fS0))
2019/adamovsky	progSpoiler.c	514	Output	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->call, (void (*)())(&fS1))
2019/adamovsky	progSpoiler.c	517	Output	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->call, (void (*)())(&fS2))
2019/adamovsky	progSpoiler.c	521	Output	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->call, (void (*)())(&fI))
2019/adamovsky	progSpoiler.c	522	Output	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->call, (void (*)())(&fV))
2019/adamovsky	progSpoiler.c	523	Output	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->call, (void (*)())(&fW))
2019/adamovsky	progSpoiler.c	524	Output	initialization	Unknown	\initialized(&(f + 1)->c)
2019/adamovsky	progSpoiler.c	528	Output	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->call, (void (*)())(&fR))
2019/adamovsky	progSpoiler.c	529	Output	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->call, (void (*)())(&fCh))
2019/adamovsky	progSpoiler.c	531	Output	initialization	Unknown	\initialized(&(f + 1)->c)
2019/adamovsky	progSpoiler.c	532	Output	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->call, (void (*)())(&fP))
2019/adamovsky	progSpoiler.c	533	Output	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->call, (void (*)())(&fC))
2019/adamovsky	progSpoiler.c	534	Output	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->call, (void (*)())(&fE))
2019/adamovsky	progSpoiler.c	535	Output	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->call, (void (*)())(&fD0))
2019/adamovsky	progSpoiler.c	536	Output	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->call, (void (*)())(&fD))
2019/adamovsky	progSpoiler.c	539	Output	initialization	Unknown	\initialized(&(f + 0)->init)
2019/adamovsky	progSpoiler.c	539	Output	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->init, (void (*)())(&fA))
2019/adamovsky	progSpoiler.c	543	Output	ptr_comparison	Unknown	\pointer_comparable((void (*)())(f + 0)->call, (void (*)())(&fCont))
FRAMAC_SHARE/libc	stdio.h	150	fopen	precondition	Unknown	valid_filename: valid_read_string(filename)
FRAMAC_SHARE/libc	stdio.h	151	fopen	precondition	Unknown	valid_mode: valid_read_string(mode)
