directory	file	line	function	property kind	status	property
2019/yang	prog.c	22	m	signed_overflow	Unknown	H + q_0 ≤ 2147483647
2019/yang	prog.c	22	m	initialization	Unknown	\initialized(&(U + i)->x)
2019/yang	prog.c	22	m	initialization	Unknown	\initialized(&(U + i)->y)
2019/yang	prog.c	22	m	initialization	Unknown	\initialized(&(U + o)->x)
2019/yang	prog.c	22	m	initialization	Unknown	\initialized(&(U + o)->y)
2019/yang	prog.c	22	m	mem_access	Unknown	\valid_read(&(U + i)->x)
2019/yang	prog.c	22	m	mem_access	Unknown	\valid_read(&(U + i)->y)
2019/yang	prog.c	22	m	mem_access	Unknown	\valid_read(&(U + o)->x)
2019/yang	prog.c	22	m	mem_access	Unknown	\valid_read(&(U + o)->y)
2019/yang	prog.c	22	m	signed_overflow	Unknown	o + 1 ≤ 2147483647
2019/yang	prog.c	22	m	mem_access	Unknown	\valid_read(U + x)
2019/yang	prog.c	22	m	mem_access	Unknown	\valid(U + x)
2019/yang	prog.c	22	m	mem_access	Unknown	\valid_read(U + y)
2019/yang	prog.c	22	m	mem_access	Unknown	\valid(U + y)
2019/yang	prog.c	22	m	signed_overflow	Unknown	x + 1 ≤ 2147483647
2019/yang	prog.c	22	m	mem_access	Unknown	\valid_read(U + x)
2019/yang	prog.c	22	m	mem_access	Unknown	\valid(U + x)
2019/yang	prog.c	22	m	mem_access	Unknown	\valid_read(U + y)
2019/yang	prog.c	22	m	mem_access	Unknown	\valid(U + y)
2019/yang	prog.c	22	v	signed_overflow	Unknown	l + I[tmp] ≤ 2147483647
2019/yang	prog.c	22	v	signed_overflow	Unknown	o + I[i] ≤ 2147483647
2019/yang	prog.c	22	v	signed_overflow	Unknown	x + (int)(2 - (int)(i / 22)) ≤ 2147483647
2019/yang	prog.c	22	a	signed_overflow	Unknown	H + 2 ≤ 2147483647
2019/yang	prog.c	22	a	signed_overflow	Unknown	t * 24 ≤ 2147483647
2019/yang	prog.c	22	a	signed_overflow	Unknown	t * 2 ≤ 2147483647
2019/yang	prog.c	22	a	mem_access	Unknown	\valid(&(U + H)->x)
2019/yang	prog.c	22	a	mem_access	Unknown	\valid(&(U + H)->y)
2019/yang	prog.c	22	a	mem_access	Unknown	\valid(&(U + tmp_0)->z)
2019/yang	prog.c	22	P	shift	Unknown	0 ≤ o < 32
2019/yang	prog.c	22	P	index_bound	Unknown	tmp < 4
2019/yang	prog.c	22	P	index_bound	Unknown	o < 4
2019/yang	prog.c	22	P	precondition of fputc	Unknown	valid_stream: \valid(stream)
2019/yang	prog.c	22	Q	precondition of abs	Unknown	abs_representable: j > -2147483647 - 1
2019/yang	prog.c	22	main	signed_overflow	Unknown	-2147483648 ≤ O - 1
2019/yang	prog.c	22	main	mem_access	Unknown	\valid_read(*Z)
2019/yang	prog.c	22	main	mem_access	Unknown	\valid_read(Z)
2019/yang	prog.c	22	main	mem_access	Unknown	\valid_read(*Z + 1)
2019/yang	prog.c	22	main	mem_access	Unknown	\valid_read(Z)
2019/yang	prog.c	22	main	precondition of fopen	Unknown	valid_filename: valid_read_string(filename)
2019/yang	prog.c	22	main	precondition of perror	Unknown	valid_string_s: valid_read_string(s)
2019/yang	prog.c	22	main	precondition of fgetc	Unknown	valid_stream: \valid(stream)
2019/yang	prog.c	22	main	signed_overflow	Unknown	-2147483648 ≤ y + l
2019/yang	prog.c	22	main	signed_overflow	Unknown	y + l ≤ 2147483647
2019/yang	prog.c	22	main	signed_overflow	Unknown	x + l ≤ 2147483647
2019/yang	prog.c	22	main	signed_overflow	Unknown	(int)(l * 10) + e ≤ 2147483647
2019/yang	prog.c	22	main	signed_overflow	Unknown	-2147483648 ≤ l * 10
2019/yang	prog.c	22	main	signed_overflow	Unknown	l * 10 ≤ 2147483647
2019/yang	prog.c	22	main	shift	Unknown	0 ≤ l
2019/yang	prog.c	22	main	signed_overflow	Unknown	l << 6 ≤ 2147483647
2019/yang	prog.c	22	main	signed_overflow	Unknown	y + 1 ≤ 2147483647
2019/yang	prog.c	22	main	signed_overflow	Unknown	x + 8 ≤ 2147483647
2019/yang	prog.c	22	main	signed_overflow	Unknown	x + 1 ≤ 2147483647
2019/yang	prog.c	22	main	signed_overflow	Unknown	V + (int)((int)(V + e) << 10) ≤ 2147483647
2019/yang	prog.c	22	main	signed_overflow	Unknown	(int)(V + e) << 10 ≤ 2147483647
2019/yang	prog.c	22	main	signed_overflow	Unknown	V + e ≤ 2147483647
2019/yang	prog.c	22	main	mem_access	Unknown	\valid(&(U + H)->x)
2019/yang	prog.c	22	main	initialization	Unknown	\initialized(&(U + h)->y)
2019/yang	prog.c	22	main	mem_access	Unknown	\valid_read(&(U + h)->y)
2019/yang	prog.c	22	main	initialization	Unknown	\initialized(&(U + h)->x)
2019/yang	prog.c	22	main	mem_access	Unknown	\valid_read(&(U + h)->x)
2019/yang	prog.c	22	main	initialization	Unknown	\initialized(&(U + h)->y)
2019/yang	prog.c	22	main	mem_access	Unknown	\valid_read(&(U + h)->y)
2019/yang	prog.c	22	main	initialization	Unknown	\initialized(&(U + h)->x)
2019/yang	prog.c	22	main	mem_access	Unknown	\valid_read(&(U + h)->x)
2019/yang	prog.c	22	main	initialization	Unknown	\initialized(&(U + (int)(h - 1))->z)
2019/yang	prog.c	22	main	mem_access	Unknown	\valid_read(&(U + (int)(h - 1))->z)
2019/yang	prog.c	22	main	mem_access	Unknown	\valid_read(U + x)
2019/yang	prog.c	22	main	mem_access	Unknown	\valid(U + x)
2019/yang	prog.c	22	main	mem_access	Unknown	\valid_read(U + y)
2019/yang	prog.c	22	main	mem_access	Unknown	\valid(U + y)
2019/yang	prog.c	22	main	division_by_zero	Unknown	(int)(-((int)(~x))) ≢ 0
2019/yang	prog.c	22	main	mem_access	Unknown	\valid_read(Z)
2019/yang	prog.c	22	main	precondition of fopen	Unknown	valid_filename: valid_read_string(filename)
2019/yang	prog.c	22	main	precondition of perror	Unknown	valid_string_s: valid_read_string(s)
