directory	file	line	function	property kind	status	property
2019/yang	violet.c	16	s	mem_access	Unknown	\valid_read(U + x)
2019/yang	violet.c	17	s	mem_access	Unknown	\valid(U + x)
2019/yang	violet.c	17	s	mem_access	Unknown	\valid_read(U + y)
2019/yang	violet.c	17	s	mem_access	Unknown	\valid(U + y)
2019/yang	violet.c	18	m	signed_overflow	Unknown	H + q_0 ≤ 2147483647
2019/yang	violet.c	19	m	initialization	Unknown	\initialized(&(U + i)->y)
2019/yang	violet.c	19	m	initialization	Unknown	\initialized(&(U + o)->y)
2019/yang	violet.c	19	m	mem_access	Unknown	\valid_read(&(U + i)->y)
2019/yang	violet.c	19	m	mem_access	Unknown	\valid_read(&(U + o)->y)
2019/yang	violet.c	19	m	initialization	Unknown	\initialized(&(U + i)->x)
2019/yang	violet.c	19	m	initialization	Unknown	\initialized(&(U + o)->x)
2019/yang	violet.c	19	m	mem_access	Unknown	\valid_read(&(U + i)->x)
2019/yang	violet.c	19	m	mem_access	Unknown	\valid_read(&(U + o)->x)
2019/yang	violet.c	20	m	signed_overflow	Unknown	o + 1 ≤ 2147483647
2019/yang	violet.c	20	m	signed_overflow	Unknown	x + 1 ≤ 2147483647
2019/yang	violet.c	21	v	signed_overflow	Unknown	I[tmp] + l ≤ 2147483647
2019/yang	violet.c	21	v	signed_overflow	Unknown	o + I[i] ≤ 2147483647
2019/yang	violet.c	22	v	signed_overflow	Unknown	2 + x ≤ 2147483647
2019/yang	violet.c	22	a	signed_overflow	Unknown	H + 2 ≤ 2147483647
2019/yang	violet.c	23	a	signed_overflow	Unknown	2 * t ≤ 2147483647
2019/yang	violet.c	23	a	signed_overflow	Unknown	t * 2 ≤ 2147483647
2019/yang	violet.c	23	a	mem_access	Unknown	\valid(&(U + H)->x)
2019/yang	violet.c	23	a	mem_access	Unknown	\valid(&(U + H)->y)
2019/yang	violet.c	23	a	mem_access	Unknown	\valid(&(U + tmp_0)->z)
2019/yang	violet.c	24	Q	precondition of abs	Unknown	abs_representable: j > -2147483647 - 1
2019/yang	violet.c	26	P	shift	Unknown	0 ≤ o < 32
