directory	file	line	function	property kind	status	property
2020/otterness	prog.c	12	A	initialization	Unknown	\initialized(c + (int)(!(c ≢ \null)? 0: 1))
2020/otterness	prog.c	12	A	initialization	Unknown	\initialized(c)
2020/otterness	prog.c	12	A	mem_access	Unknown	\valid_read(c + (int)(!(c ≢ \null)? 0: 1))
2020/otterness	prog.c	12	A	mem_access	Unknown	\valid_read(c)
2020/otterness	prog.c	12	A	ptr_comparison	Unknown	\pointer_comparable((void *)0, (void *)c)
2020/otterness	prog.c	12	A	signed_overflow	Unknown	(int)((u2)*c) << l ≤ 2147483647
2020/otterness	prog.c	15	B	mem_access	Unknown	\valid(tmp)
2020/otterness	prog.c	15	B	shift	Unknown	0 ≤ l < 32
2020/otterness	prog.c	16	B	mem_access	Unknown	\valid(c)
2020/otterness	prog.c	24	C	initialization	Unknown	\initialized(c + d)
2020/otterness	prog.c	24	C	mem_access	Unknown	\valid_read(c + d)
2020/otterness	prog.c	26	C	shift	Unknown	0 ≤ l < 32
2020/otterness	prog.c	45	D	division_by_zero	Unknown	(int)c ≢ 0
2020/otterness	prog.c	50	F	mem_access	Unknown	\valid(c)
2020/otterness	prog.c	51	F	division_by_zero	Unknown	n ≢ 0
2020/otterness	prog.c	57	F	mem_access	Unknown	\valid(c)
2020/otterness	prog.c	58	F	shift	Unknown	0 ≤ l < 32
2020/otterness	prog.c	68	G	signed_overflow	Unknown	(int)p << (int)q ≤ 2147483647
2020/otterness	prog.c	68	G	shift	Unknown	0 ≤ (int)q < 32
2020/otterness	prog.c	70	G	initialization	Unknown	\initialized(c)
2020/otterness	prog.c	70	G	mem_access	Unknown	\valid_read(c)
2020/otterness	prog.c	84	G	division_by_zero	Unknown	(u4)o ≢ 0
2020/otterness	prog.c	85	G	shift	Unknown	0 ≤ (int)q < 32
2020/otterness	prog.c	104	H	division_by_zero	Unknown	n ≢ 0
2020/otterness	prog.c	105	H	division_by_zero	Unknown	(int)m ≢ 0
2020/otterness	prog.c	106	H	initialization	Unknown	\initialized(c + n)
2020/otterness	prog.c	106	H	mem_access	Unknown	\valid_read(c + n)
